"name","logo","homepage_url","crunchbase"
"1worldblockchain LLC","","https://1worldblockchain.com/",""
"Anne Inc.","","https://anne.com.cn/",""
"Anne Inc.","","https://anne.com.cn/",""
"Anne Inc.","","https://anne.com.cn/",""
"Anne Inc.","","https://anne.com.cn/",""
"Beijing Botuzongheng Science & Technology Co., Ltd.","","https://mateo.com/",""
"Beijing Botuzongheng Science & Technology Co., Ltd.","","https://mateo.com/",""
"Beijing Botuzongheng Science & Technology Co., Ltd.","","https://mateo.com/",""
"Beijing Lianlian Information Technology., Ltd","","https://xrfinance.com/",""
"Beijing Lianlian Information Technology., Ltd","","https://xrfinance.com/",""
"Beijing Lianlian Information Technology., Ltd","","https://xrfinance.com/",""
"Beijing Lianlian Information Technology., Ltd","","https://xrfinance.com/",""
"Block Chain (Shenzhen) Research & Development Center","","https://szzztl.com/",""
"Chengdu Chiwu Software Technologies Co. Ltd.","","https://c5net.cn/","https://www.crunchbase.com/organization/dopamine"
"Chengtay Information Technology(TianJin) Co.,Ltd","","https://chengtaytech.com/",""
"Chengtay Information Technology(TianJin) Co.,Ltd","","https://chengtaytech.com/",""
"ChongQin Xichain Technologies Ltd., Co","","https://xi-tech.com.cn/",""
"Cognition Foundry","","https://cognitionfoundry.com/",""
"Cognition Foundry","","https://cognitionfoundry.com/",""
"Cognition Foundry","","https://cognitionfoundry.com/",""
"Cognition Foundry","","https://cognitionfoundry.com/",""
"Cognition Foundry","","https://cognitionfoundry.com/",""
"Credits (Pythia Limited)","","https://credits.vision/",""
"DABCo Ltd","","https://vdigitalassetbroker.com/",""
"Digital Currency Forum","","https://dc-forum.com/",""
"Digital Impact LLC","","https://digitalimpactnow.com/",""
"Elementrem","","https://elementrem.org/",""
"Elementrem","","https://elementrem.org/",""
"Elementrem","","https://elementrem.org/",""
"Elementrem","","https://elementrem.org/",""
"Eli Lilly and Company","","https://lilly.com/","https://www.crunchbase.com/organization/lilly"
"Eli Lilly and Company","","https://lilly.com/","https://www.crunchbase.com/organization/lilly"
"Eli Lilly and Company","","https://lilly.com/","https://www.crunchbase.com/organization/lilly"
"Embleema","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/embleema.svg","https://embleema.com/",""
"Embleema","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/embleema.svg","https://embleema.com/",""
"Embleema","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/embleema.svg","https://embleema.com/",""
"Embleema","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/embleema.svg","https://embleema.com/",""
"Ernst & Young Global Limited","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ErnstYoungGlobalLimited.svg","https://ey.com/","https://www.crunchbase.com/organization/ernst-young"
"Gem.co","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/gem.co.svg","https://gem.co/","https://www.crunchbase.com/organization/bitvault"
"Gem.co","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/gem.co.svg","https://gem.co/","https://www.crunchbase.com/organization/bitvault"
"Gem.co","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/gem.co.svg","https://gem.co/","https://www.crunchbase.com/organization/bitvault"
"Guangzhou Technology Innovation Space Information Technology Co., Ltd.","","https://feibaos.cn/",""
"iownit capital and markets, Inc","","https://iownit.us/",""
"iownit capital and markets, Inc","","https://iownit.us/",""
"iownit capital and markets, Inc","","https://iownit.us/",""
"Kyra Solutions, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kyra-solutions-inc.svg","https://kyrasolutions.com/","https://www.crunchbase.com/organization/kyra-solutions-inc"
"Kyra Solutions, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kyra-solutions-inc.svg","https://kyrasolutions.com/","https://www.crunchbase.com/organization/kyra-solutions-inc"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"OPEN CERT","","https://opencert.fr/",""
"OSCRE International","","https://oscre.org/",""
"OSCRE International","","https://oscre.org/",""
"OSCRE International","","https://oscre.org/",""
"OSCRE International","","https://oscre.org/",""
"RadarWin Cyber Technology (Shanghai) Co., Ltd.","","https://radarwin.com/",""
"RadarWin Cyber Technology (Shanghai) Co., Ltd.","","https://radarwin.com/",""
"Shanghai Tianji Network Co., Ltd.","","https://ebaas.com/",""
"Shanghai Yuanlu Jiajia Information&Technology Co. Ltd","","https://jiajiagroup.net/",""
"Shenzhen Qianhai Zhaogu Financial Service CO., LTD","","https://99.com/",""
"Shenzhen Qianhai Zhaogu Financial Service CO., LTD","","https://99.com/",""
"Shenzhen UltraChain Technologies, Limited","","https://shenzhenultrachaintechnologies.invalid/","https://www.crunchbase.com/organization/unknown-com"
"Shenzhen UltraChain Technologies, Limited","","https://shenzhenultrachaintechnologies.invalid/","https://www.crunchbase.com/organization/unknown-com"
"Shenzhen UltraChain Technologies, Limited","","https://shenzhenultrachaintechnologies.invalid/","https://www.crunchbase.com/organization/unknown-com"
"Tequa Creek Holdings LLC","","https://tequacreek.net/",""
"Tequa Creek Holdings LLC","","https://tequacreek.net/",""
"Tequa Creek Holdings LLC","","https://tequacreek.net/",""
"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT)","","https://uni.lu/","https://www.crunchbase.com/organization/university-of-luxembourg"
"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT)","","https://uni.lu/","https://www.crunchbase.com/organization/university-of-luxembourg"
"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT)","","https://uni.lu/","https://www.crunchbase.com/organization/university-of-luxembourg"
"Xooa Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/xooa-inc.svg","https://xooa.com/",""
"Xooa Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/xooa-inc.svg","https://xooa.com/",""
"Xooa Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/xooa-inc.svg","https://xooa.com/",""
"YouSpE Holding Pte. Ltd.","","https://youspe.tech/",""
"Yuntu Kerui Technology Co., Ltd. dba Wutongtree","","https://crypto2x.com/",""
